이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
MagicLineNPIZ.exe            16580 Console                    1     23,788 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 MagicLine4NPIZ                                                           
GBSMV2.exe                   16664 Console                    1     30,408 K Running         NT AUTHORITY\SYSTEM                                     0:00:12 GBSMV2                                                                   
unsecapp.exe                 17556 Console                    1      7,992 K Running         NT AUTHORITY\SYSTEM                                     0:00:00 OleMainThreadWndName                                                     
vmware-tray.exe              17532 Console                    1      9,616 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 vmware-tray Main UI Window                                               
ApplicationFrameHost.exe     17988 Console                    1     41,200 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:03 Microsoft Edge                                                           
WinStore.App.exe             17284 Console                    1        720 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 Microsoft Store                                                          
SystemSettings.exe            5344 Console                    1        556 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 설정                                                                     
Calculator.exe               10440 Console                    1        516 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 계산기                                                                   
IAStorIcon.exe                4640 Console                    1     37,136 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
YourPhone.exe                 5652 Console                    1      6,932 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
Video.UI.exe                 19564 Console                    1        476 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 영화 및 TV                                                               
ShellExperienceHost.exe      20076 Console                    1     77,684 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:10 새 알림                                                                  
RuntimeBroker.exe            20316 Console                    1     23,840 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 OleMainThreadWndName                                                     
dllhost.exe                  10788 Console                    1     12,552 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:01 OleMainThreadWndName                                                     
chrome.exe                   11676 Console                    1    178,576 K Running         DESKTOP-S53VTJ2\gjh62                                   0:06:57 강의콘텐츠 - Chrome                                                      
chrome.exe                   11672 Console                    1      6,540 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
chrome.exe                   14716 Console                    1      8,156 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 N/A                                                                      
chrome.exe                   13184 Console                    1    210,144 K Running         DESKTOP-S53VTJ2\gjh62                                   0:04:00 N/A                                                                      
SkypeApp.exe                  4748 Console                    1      1,448 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:06 N/A                                                                      
RuntimeBroker.exe            20640 Console                    1     24,744 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 OleMainThreadWndName                                                     
MicrosoftEdge.exe             5420 Console                    1     57,072 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 Microsoft Edge                                                           
browser_broker.exe           17520 Console                    1      7,648 K Running         DESKTOP-S53VTJ2\gjh62                                   0:00:00 OleMainThreadWndName                                                     
