이미지 이름                    PID 세션 이름              세션#  메모리 사용 상태            사용자 이름                                            CPU 시간 창 제목                                                                  
svchost.exe                   3268 Services                   0      6,556 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                   3276 Services                   0      7,108 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                      
svchost.exe                   3512 Services                   0      8,452 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:02 N/A                                                                      
svchost.exe                   3540 Services                   0      8,344 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   3756 Services                   0      7,008 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:02 N/A                                                                      
svchost.exe                   3912 Services                   0     13,700 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:08 N/A                                                                      
svchost.exe                   4076 Services                   0      6,088 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                   4084 Services                   0      9,264 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                      
svchost.exe                   4180 Services                   0     17,260 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:02 N/A                                                                      
svchost.exe                   4304 Services                   0     14,084 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
wlanext.exe                   4368 Services                   0      4,968 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
conhost.exe                   4416 Services                   0      4,996 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
spoolsv.exe                   4444 Services                   0     12,048 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   4540 Services                   0     18,592 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:06 N/A                                                                      
com.docker.service            4804 Services                   0     69,716 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:06 N/A                                                                      
eausvc.exe                    4812 Services                   0      6,076 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
AnySign4PCLauncher.exe        4820 Services                   0     18,044 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:24 N/A                                                                      
svchost.exe                   4840 Services                   0     29,268 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:06 N/A                                                                      
mDNSResponder.exe             4848 Services                   0      6,808 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:11 N/A                                                                      
ElevateService.exe            4856 Services                   0      5,736 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
ObCrossEXService.exe          4864 Services                   0      5,252 K Unknown         NT AUTHORITY\SYSTEM                                     0:01:28 N/A                                                                      
ETDService.exe                4872 Services                   0      4,724 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
AGSService.exe                4880 Services                   0      9,524 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
IntelCpHDCPSvc.exe            4888 Services                   0      6,776 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
AGMService.exe                4896 Services                   0      9,924 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
G4CWSLocalServer.exe          4904 Services                   0      6,508 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
svchost.exe                   4912 Services                   0     57,136 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:01:26 N/A                                                                      
svchost.exe                   4928 Services                   0     13,564 K Unknown         NT AUTHORITY\NETWORK SERVICE                            0:00:01 N/A                                                                      
ibtsiva.exe                   4964 Services                   0      4,312 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
ibtsiva.exe                   4976 Services                   0      5,632 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                      
